"transaction_date","post_date","type","details","amount","currency"
"2025-10-04","2025-10-04","Purchase","TST-CHAU VEGGIE EXPRES","60.37","CAD"
"2025-10-03","2025-10-04","Purchase","SUPER VALU 98","53.6","CAD"
"2025-10-04","2025-10-05","Purchase","COMMERCIAL DRIVE LICORIC","14.15","CAD"
"2025-10-04","2025-10-05","Purchase","CONTINENTAL COFFEE COMM","47.0","CAD"
"2025-10-04","2025-10-05","Purchase","LIBERTY WINE MERCHANTS (C","92.09","CAD"
"2025-10-04","2025-10-05","Purchase","LIBERTY WINE MERCHANTS (C","42.64","CAD"
"2025-10-05","2025-10-05","Purchase","PETRO-CANADA 68064","3.03","CAD"
"2025-10-05","2025-10-05","Purchase","PETRO-CANADA 68064","6.39","CAD"
"2025-10-04","2025-10-05","Purchase","SUPER VALU 98","5.05","CAD"
"2025-10-05","2025-10-05","Purchase","TST-FREDS","19.95","CAD"
"2025-10-05","2025-10-05","Purchase","TST-CREMA CAFE BAR","47.85","CAD"
"2025-10-06","2025-10-06","Purchase","COBS BREAD","3.1","CAD"
"2025-10-06","2025-10-06","Purchase","SQ *MRPETS - VANCOUVER","43.67","CAD"
"2025-10-06","2025-10-06","Purchase","AMAZON.CA PRIME MEMBER","11.19","CAD"
"2025-10-06","2025-10-06","Purchase","SPICE BEAUTY BAR","30.2","CAD"
"2025-10-06","2025-10-07","Purchase","PERSIA FOODS","9.51","CAD"
"2025-10-06","2025-10-07","Purchase","LONDON DRUGS 82","59.01","CAD"
"2025-10-06","2025-10-07","Purchase","CITY AVENUE MARKET","45.87","CAD"
"2025-10-06","2025-10-07","Purchase","SAL Y LIMON MEXICAN CU","20.47","CAD"
"2025-10-06","2025-10-07","Purchase","THE HOME DEPOT #7042","32.38","CAD"
"2025-10-06","2025-10-07","Purchase","FIDO MOBILE ******4649","84.79","CAD"
"2025-10-07","2025-10-07","Purchase","PETRO-CANADA 02889","2.51","CAD"
"2025-10-07","2025-10-07","Purchase","NEW VISAGE ADVANCED SKINC","100.0","CAD"
"2025-10-07","2025-10-07","Purchase","NEW VISAGE ADVANCED SKINC","154.8","CAD"
"2025-10-07","2025-10-07","Purchase","NOODLEBOX","31.14","CAD"
"2025-10-07","2025-10-08","Purchase","NEW TRIPLE A MARKET","6.55","CAD"
"2025-10-07","2025-10-08","Purchase","LIBERTY WINE MERCHANTS (C","57.75","CAD"
"2025-10-07","2025-10-08","Purchase","AIR-SERV V AN06044","3.0","CAD"
"2025-10-08","2025-10-09","Purchase","CHEVRON 43375","11.54","CAD"
"2025-10-08","2025-10-09","Purchase","IMPARK00011888U","2.0","CAD"
"2025-10-09","2025-10-09","Purchase","LS LIVIA SWEETS LTD.","12.15","CAD"
"2025-10-09","2025-10-09","Purchase","SQ *PAULIE'S BARBERSHOP","50.0","CAD"
"2025-10-09","2025-10-09","Purchase","TST-STRATHCONA BEER CO","55.81","CAD"
"2025-10-09","2025-10-10","Purchase","BUSY BEE CLEANERS","11.96","CAD"
"2025-10-09","2025-10-10","Purchase","SANTA BARBARA MARKET","43.35","CAD"
"2025-10-10","2025-10-11","Purchase","DOLLARAMA # 771","14.11","CAD"
"2025-10-11","2025-10-11","Purchase","SQ *MRPETS - VANCOUVER","94.05","CAD"
"2025-10-11","2025-10-11","Purchase","SQ *FC HEADLAND","13.62","CAD"
"2025-10-11","2025-10-11","Purchase","SQ *FC HEADLAND","19.0","CAD"
"2025-10-11","2025-10-11","Purchase","LYFT *RIDE SAT 12PM","18.12","CAD"
"2025-10-11","2025-10-11","Purchase","LYFT *RIDE SAT 4PM","14.94","CAD"
"2025-10-11","2025-10-11","Purchase","UBER CANADA/UBERTRIP","18.3","CAD"
"2025-10-11","2025-10-12","Purchase","LA MEZCALERIA YV* TOCK","241.08","CAD"
"2025-10-11","2025-10-12","Purchase","FLYING OTTER","81.5","CAD"
"2025-10-11","2025-10-12","Purchase","PERSIA FOODS","6.0","CAD"
"2025-10-11","2025-10-12","Purchase","BCF - HORSESHOE BAY","31.3","CAD"
"2025-10-11","2025-10-12","Purchase","NEW TRIPLE A MARKET","19.59","CAD"
"2025-10-10","2025-10-12","Purchase","SUPER VALU 98","33.03","CAD"
"2025-10-12","2025-10-12","Purchase","LYFT *RIDE SUN 12PM","15.84","CAD"
"2025-10-12","2025-10-12","Purchase","EVENTBRITE/GROOVEOFTHE","66.56","CAD"
"2025-10-12","2025-10-12","Purchase","UBER CANADA/UBERTRIP","11.33","CAD"
"2025-10-12","2025-10-12","Purchase","UBER CANADA/UBERTRIP","3.0","CAD"
"2025-10-12","2025-10-12","Purchase","UBER CANADA/UBERTRIP","19.56","CAD"
"2025-10-12","2025-10-13","Purchase","BCF - SURREY QUEEN OF","5.34","CAD"
"2025-10-12","2025-10-13","Purchase","BCF - SURREY QUEEN OF","2.82","CAD"
"2025-10-11","2025-10-13","Purchase","SAFEWAY #4909","6.98","CAD"
"2025-10-13","2025-10-14","Purchase","BCF - SURREY QUEEN OF","10.26","CAD"
"2025-10-13","2025-10-14","Purchase","TIM HORTONS #1303","3.29","CAD"
"2025-10-13","2025-10-14","Purchase","MIKES PLACE","7.7","CAD"
"2025-10-13","2025-10-14","Purchase","THE GUMBOOT CAFE","39.54","CAD"
"2025-10-13","2025-10-14","Purchase","THE GUMBOOT CAFE","6.04","CAD"
"2025-10-14","2025-10-14","Purchase","SQ *FORECAST MAIN ST","11.82","CAD"
"2025-10-14","2025-10-14","Purchase","SQ *MORE CAFE & BAKESHOP","9.35","CAD"
"2025-10-13","2025-10-14","Purchase","LYFT *RIDE MON 7PM","33.7","CAD"
"2025-10-13","2025-10-14","Purchase","COMPASS ACCOUNT BURNAB","3.35","CAD"
"2025-10-13","2025-10-14","Purchase","THE GUMBOOT RESTAURANT","5.44","CAD"
"2025-10-14","2025-10-15","Purchase","COMPASS AUTOLOAD","60.0","CAD"
"2025-10-14","2025-10-15","Purchase","BLACK BEAN CAFE","23.31","CAD"
"2025-10-14","2025-10-15","Purchase","LONDON DRUGS 61","78.43","CAD"
"2025-10-14","2025-10-15","Purchase","BCF - SURREY QUEEN OF","13.44","CAD"
"2025-10-14","2025-10-15","Purchase","THE FIRST RAVIOLI STORE","4.5","CAD"
"2025-10-14","2025-10-15","Purchase","PHO37","54.83","CAD"
"2025-10-14","2025-10-15","Purchase","COMPASS ACCOUNT BURNAB","3.35","CAD"
"2025-10-14","2025-10-15","Purchase","COMPASS ACCOUNT BURNAB","3.35","CAD"
"2025-10-15","2025-10-15","Purchase","PETRO-CANADA 91340","13.24","CAD"
"2025-10-15","2025-10-15","Purchase","PETRO-CANADA 91340","56.08","CAD"
"2025-10-15","2025-10-15","Purchase","NOODLEBOX","43.64","CAD"
"2025-10-15","2025-10-15","Purchase","COBS BREAD","7.25","CAD"
"2025-10-15","2025-10-16","Purchase","CITY OF VAN-PARKS AN TROU","8.33","CAD"
"2025-10-15","2025-10-16","Purchase","THE HOME DEPOT #7042","27.83","CAD"
"2025-10-15","2025-10-16","Purchase","AMZN MKTP CA*NM05622E1","36.95","CAD"
"2025-10-15","2025-10-16","Purchase","ICBC #16912","42.0","CAD"
"2025-10-16","2025-10-16","Purchase","LS LIVIA SWEETS LTD.","22.18","CAD"
"2025-10-16","2025-10-17","Purchase","PERSIA FOODS","8.22","CAD"
"2025-10-16","2025-10-17","Purchase","SQ *CANUCKS TEAM STORE","65.0","CAD"
"2025-10-16","2025-10-17","Purchase","TELUS MOBILITY PREAUTH","160.23","CAD"
"2025-10-17","2025-10-17","Purchase","SQ *PRADO CAFE COMMERCIAL","12.42","CAD"
"2025-10-17","2025-10-17","Purchase","SQ *MRPETS - VANCOUVER","13.4","CAD"
"2025-10-16","2025-10-17","Purchase","CANUCKS SPORTS QUICK S","7.86","CAD"
"2025-10-16","2025-10-17","Purchase","SUPER VALU 98","20.57","CAD"
"2025-10-17","2025-10-18","Purchase","BELGIAN FRIES","17.51","CAD"
"2025-10-17","2025-10-18","Purchase","UPRISING BREADS BAKERY","4.8","CAD"
"2025-10-16","2025-10-18","Purchase","CITY OF VAN PAYBYPHONE","5.95","CAD"
"2025-10-17","2025-10-18","Purchase","SUPER VALU 98","26.3","CAD"
"2025-10-18","2025-10-19","Purchase","PHO37","62.13","CAD"
"2025-10-18","2025-10-19","Purchase","PETRO-CANADA 68126","9.54","CAD"
"2025-10-19","2025-10-20","Purchase","DOLLARAMA # 771","4.12","CAD"
"2025-10-19","2025-10-20","Purchase","CITY OF VAN-PARKS AN TROU","8.33","CAD"
"2025-10-20","2025-10-20","Refund initiated","VANCOUVER PB RECREATIO","-9.01","CAD"
"2025-10-20","2025-10-20","Refund initiated","VANCOUVER PB RECREATIO","-9.01","CAD"
"2025-10-19","2025-10-20","Purchase","RMI-SPORTSNET.CA/NOW","33.59","CAD"
"2025-10-20","2025-10-21","Purchase","BREKA BAKERY & CAFE","9.0","CAD"
"2025-10-20","2025-10-21","Purchase","CITY OF VAN-PARKS AN TROU","18.02","CAD"
"2025-10-20","2025-10-21","Purchase","CITY OF VAN-PARKS AN TROU","8.33","CAD"
"2025-10-20","2025-10-21","Purchase","YALETOWN DENTISTRY","266.31","CAD"
"2025-10-20","2025-10-21","Purchase","YALETOWN DENTISTRY","288.64","CAD"
"2025-10-20","2025-10-21","Refund settled","VANCOUVER PB RECREATIO","9.01","CAD"
"2025-10-20","2025-10-21","Refund settled","VANCOUVER PB RECREATIO","-9.01","CAD"
"2025-10-20","2025-10-21","Refund settled","VANCOUVER PB RECREATIO","9.01","CAD"
"2025-10-20","2025-10-21","Refund settled","VANCOUVER PB RECREATIO","-9.01","CAD"
"2025-10-21","2025-10-21","Purchase","SQ *MRPETS - VANCOUVER","57.07","CAD"
"2025-10-21","2025-10-21","Purchase","SQ *FORECAST COFFEE SLOCA","22.52","CAD"
"2025-10-20","2025-10-21","Purchase","IMPARK00011888U","2.0","CAD"
"2025-10-21","2025-10-22","Purchase","NEW TRIPLE A MARKET","14.16","CAD"
"2025-10-21","2025-10-22","Purchase","PERSIA FOODS","19.81","CAD"
"2025-10-21","2025-10-22","Purchase","THE BURROW","71.02","CAD"
"2025-10-22","2025-10-22","Purchase","SQ *PRADO CAFE COMMERCIAL","12.36","CAD"
"2025-10-21","2025-10-22","Purchase","SHOPRITE SMOKE SHOP","8.76","CAD"
"2025-10-22","2025-10-23","Purchase","NEW TRIPLE A MARKET","22.03","CAD"
"2025-10-23","2025-10-23","Purchase","CHV43116 1ST & RUPERT","10.36","CAD"
"2025-10-23","2025-10-23","Purchase","CHV43116 1ST & RUPERT","16.79","CAD"
"2025-10-23","2025-10-24","Purchase","ZABB RESTAURANT","101.85","CAD"
"2025-10-23","2025-10-24","Purchase","STARBUCKS COFFEE #5412","25.57","CAD"
"2025-10-24","2025-10-24","Purchase","AMZN MKTP CA*NU9S38MI2","36.95","CAD"
