"transaction_date","post_date","type","details","amount","currency"
"2025-11-13","2025-11-14","Purchase","LATIN AMERICA","138.06","CAD"
"2025-11-13","2025-11-14","Purchase","LA COMER LA CASCADA","60.6","CAD"
"2025-11-13","2025-11-14","Purchase","LA COMER LA CASCADA","11.05","CAD"
"2025-11-14","2025-11-15","Purchase","CLIP MX*ECO ADVENTURES","806.02","CAD"
"2025-11-14","2025-11-15","Purchase","MERPAGO*ZINIAAZZENETC","118.64","CAD"
"2025-11-15","2025-11-16","Purchase","MERPAGO*ABARROTES","14.75","CAD"
"2025-11-15","2025-11-16","Purchase","BPK*NOMADE CABO PULMO","79.91","CAD"
"2025-11-16","2025-11-16","Purchase","FIDO MOBILE ******4649","63.84","CAD"
"2025-11-15","2025-11-16","Purchase","TELUS MOBILITY PREAUTH","166.95","CAD"
"2025-11-16","2025-11-17","Purchase","LYFT *RIDE SUN 8PM","44.84","CAD"
"2025-11-16","2025-11-17","Purchase","ABARR 628 CANDYTOPIA S","13.83","CAD"
"2025-11-17","2025-11-17","Purchase","SQ *JJ BEAN COFFEE ROASTE","19.77","CAD"
"2025-11-17","2025-11-18","Purchase","CITY AVENUE MARKET","34.62","CAD"
"2025-11-17","2025-11-18","Purchase","CITY AVENUE MARKET","93.23","CAD"
"2025-11-17","2025-11-18","Purchase","SEATGEEK TICKETS","185.22","CAD"
"2025-11-17","2025-11-18","Purchase","PHO37","67.45","CAD"
"2025-11-18","2025-11-18","Purchase","SQ *FORECAST COFFEE SLOCA","11.39","CAD"
"2025-11-18","2025-11-19","Purchase","MOJA COFFEE ON THE DRIVE","7.13","CAD"
"2025-11-18","2025-11-19","Purchase","CONTINENTAL COFFEE COMM","8.07","CAD"
"2025-11-18","2025-11-19","Purchase","FIG MART","6.29","CAD"
"2025-11-18","2025-11-19","Purchase","SAL Y LIMON MEXICAN CU","13.69","CAD"
"2025-11-18","2025-11-19","Purchase","RONA+ GRANDVIEW 83704","235.19","CAD"
"2025-11-19","2025-11-19","Purchase","LS LIVIA SWEETS LTD.","6.82","CAD"
"2025-11-19","2025-11-19","Purchase","LS LIVIA SWEETS LTD.","47.08","CAD"
"2025-11-19","2025-11-20","Purchase","RMI-SPORTSNET.CA/NOW","33.59","CAD"
"2025-11-19","2025-11-20","Purchase","KAL TIRE 708","2002.18","CAD"
"2025-11-19","2025-11-20","Purchase","SHINE AUTO WASH","16.8","CAD"
"2025-11-19","2025-11-20","Purchase","TELUS PRE-AUTH PAYMENT","106.4","CAD"
"2025-11-20","2025-11-21","Purchase","BELL MEDIA","24.64","CAD"
"2025-11-20","2025-11-21","Purchase","SIMPLICITY PATTERNS","20.7","CAD"
"2025-11-20","2025-11-21","Purchase","STRANGE FELLOWS BREWING","42.62","CAD"
"2025-11-20","2025-11-21","Purchase","PERSIA FOODS","14.53","CAD"
"2025-11-20","2025-11-21","Purchase","THE HOME DEPOT #7042","6.28","CAD"
"2025-11-21","2025-11-21","Purchase","SP TUSHYME","288.96","CAD"
"2025-11-20","2025-11-21","Purchase","SUPER VALU 98","14.58","CAD"
"2025-11-20","2025-11-22","Purchase","VIET FAMILY","47.7","CAD"
"2025-11-21","2025-11-22","Purchase","CITY OF VAN-PARKS AN TROU","8.33","CAD"
"2025-11-21","2025-11-22","Purchase","CITY AVENUE MARKET","132.14","CAD"
"2025-11-20","2025-11-22","Purchase","THEUPSSTORE","12.67","CAD"
"2025-11-22","2025-11-23","Purchase","STRANGE FELLOWS BREWING","16.17","CAD"
"2025-11-22","2025-11-23","Purchase","PERSIA FOODS","12.68","CAD"
"2025-11-23","2025-11-23","Purchase","TST-TERRA BREADS - MAN","15.69","CAD"
"2025-11-23","2025-11-24","Purchase","SPORTS JUNKIES","776.2","CAD"
"2025-11-23","2025-11-24","Purchase","SPORTS JUNKIES","55.99","CAD"
"2025-11-23","2025-11-24","Purchase","PARKING FALSE CREEK 10","4.5","CAD"
"2025-11-23","2025-11-24","Purchase","LONDON DRUGS 82","171.7","CAD"
"2025-11-23","2025-11-24","Purchase","LONDON DRUGS 82","5.76","CAD"
"2025-11-24","2025-11-24","Purchase","SQ *JJ BEAN COFFEE ROASTE","15.04","CAD"
"2025-11-24","2025-11-24","Purchase","SPICE BEAUTY BAR","19.7","CAD"
