"transaction_date","post_date","type","details","amount","currency"
"2025-11-27","2025-11-28","Purchase","THE LIGHTING WAREHOUSE","121.1","CAD"
"2025-11-28","2025-11-28","Purchase","LYFT *RIDE FRI 4PM","26.44","CAD"
"2025-11-28","2025-11-29","Purchase","LYFT *RIDE FRI 8PM","19.15","CAD"
"2025-11-28","2025-11-29","Purchase","SCANDINAVE SPA","144.9","CAD"
"2025-11-28","2025-11-29","Purchase","CAMBIE BROADWAY DENTAL","628.0","CAD"
"2025-11-28","2025-11-29","Purchase","SQ *LOCAL KITSILANO","64.07","CAD"
"2025-11-28","2025-11-29","Purchase","SIEGEL'S BAGELS","28.23","CAD"
"2025-11-28","2025-11-29","Purchase","THE FIRST RAVIOLI STORE","5.97","CAD"
"2025-11-29","2025-11-29","Purchase","SQ *GOT CRAFT MARKETS","15.0","CAD"
"2025-11-29","2025-11-29","Purchase","SQ *BAK'D COOKIES","12.86","CAD"
"2025-11-29","2025-11-29","Purchase","SQ *DE ALMEIDA","6.72","CAD"
"2025-11-29","2025-11-29","Purchase","SQ *MELT CONFECTIONARY","9.19","CAD"
"2025-11-29","2025-11-29","Purchase","SQ *YY CREATIONS LTD","15.75","CAD"
"2025-11-29","2025-11-30","Purchase","UBER CANADA/UBERTRIP","3.0","CAD"
"2025-11-29","2025-11-30","Purchase","UBER CANADA/UBERTRIP","15.84","CAD"
"2025-11-29","2025-11-30","Purchase","UBER CANADA/UBERTRIP","9.84","CAD"
"2025-11-29","2025-11-30","Purchase","THE GROCERY STORE","13.09","CAD"
"2025-11-28","2025-11-30","Purchase","GRANDVIEW SMOKE SHOP LTD","7.13","CAD"
"2025-11-29","2025-11-30","Purchase","REXALL PHARMACY #7116","21.78","CAD"
"2025-11-30","2025-11-30","Purchase","THE BENCH BAKEHOUSE","10.0","CAD"
"2025-11-29","2025-11-30","Purchase","WWW.CANADIANTIRE.CA","124.41","CAD"
"2025-11-29","2025-11-30","Purchase","LIBERTY WINE MERCHANTS (C","23.39","CAD"
"2025-11-30","2025-11-30","Purchase","SQ *BRATZ BIZ","10.0","CAD"
"2025-11-29","2025-11-30","Purchase","SUPER VALU 98","31.27","CAD"
"2025-11-30","2025-11-30","Purchase","NEW TRIPLE A MARKET","6.99","CAD"
"2025-11-30","2025-12-01","Purchase","MAGNET HARDWARE 53710","15.66","CAD"
"2025-11-30","2025-12-01","Purchase","ARTIGIANO WHISTLER","6.59","CAD"
"2025-11-30","2025-12-01","Purchase","PERSIA FOODS","13.03","CAD"
"2025-11-30","2025-12-01","Purchase","BCF - HORSESHOE BAY","15.65","CAD"
"2025-11-30","2025-12-01","Purchase","BCF - SURREY QUEEN OF","25.38","CAD"
"2025-11-30","2025-12-01","Purchase","GREEN MOUSTACHE CAFE","23.94","CAD"
"2025-12-01","2025-12-01","Purchase","SQ *MORE CAFE & BAKESHOP","17.35","CAD"
"2025-12-01","2025-12-01","Purchase","SQ *BOUTIQUE IN THE CREEK","60.48","CAD"
"2025-11-30","2025-12-01","Purchase","SUPER VALU 98","6.48","CAD"
"2025-12-01","2025-12-02","Purchase","NEW VISAGE ADVANCED SKINC","210.0","CAD"
"2025-12-01","2025-12-02","Purchase","EVENTBRITE/TALIBKWELI","98.14","CAD"
"2025-12-01","2025-12-02","Purchase","BCF - SURREY QUEEN OF","2.82","CAD"
"2025-12-02","2025-12-02","Purchase","SP TUSHYME","120.96","CAD"
"2025-12-01","2025-12-02","Purchase","DRIVE DRUM SHOP","140.0","CAD"
"2025-12-01","2025-12-02","Purchase","PHO37","76.49","CAD"
"2025-12-02","2025-12-02","Purchase","SQ *MAIN ST. - CHICKPEA R","44.07","CAD"
"2025-12-02","2025-12-02","Purchase","SQ *PAULIE'S BARBERSHOP","50.0","CAD"
"2025-12-02","2025-12-02","Purchase","SQ *GLUTEN-FREE EPICUREAN","5.78","CAD"
"2025-12-02","2025-12-02","Purchase","SQ *AUDIOPILE RECORDS","62.68","CAD"
"2025-12-02","2025-12-02","Purchase","SP HARLOW SKIN CO","28.0","CAD"
"2025-12-01","2025-12-02","Purchase","SUPER VALU 98","52.73","CAD"
"2025-12-01","2025-12-03","Purchase","THE GUMBOOT RESTAURANT","42.13","CAD"
"2025-12-01","2025-12-03","Purchase","THE GUMBOOT RESTAURANT","12.0","CAD"
"2025-11-30","2025-12-03","Purchase","BEAR COUNTRY PROPERTY MAN","988.61","CAD"
"2025-12-02","2025-12-03","Purchase","QUIDDITAS","16.28","CAD"
"2025-12-02","2025-12-03","Purchase","MEDITERRANEAN SPECIALITY","6.3","CAD"
"2025-12-02","2025-12-03","Purchase","CITY AVENUE MARKET","15.56","CAD"
"2025-12-01","2025-12-03","Purchase","SHOPPERS DRUG MART #28","27.17","CAD"
"2025-12-03","2025-12-03","Purchase","SQ *PRADO CAFE COMMERCIAL","10.82","CAD"
"2025-12-03","2025-12-03","Purchase","SQ *FORECAST COFFEE SLOCA","11.26","CAD"
"2025-12-03","2025-12-03","Purchase","LS VANCOUVER ROCK SHO","33.54","CAD"
"2025-12-03","2025-12-03","Purchase","SQ *FORECAST COFFEE SLOCA","4.99","CAD"
"2025-12-03","2025-12-03","Purchase","TOT 2 TEEN DENTAL","130.0","CAD"
"2025-12-03","2025-12-04","Purchase","BCF - ONLINE SALES & BOOK","185.0","CAD"
"2025-12-03","2025-12-04","Purchase","MAKE-A-WISH FOUNDATION OF","10.0","CAD"
"2025-12-03","2025-12-04","Purchase","ARDENE #471","95.94","CAD"
"2025-12-02","2025-12-04","Purchase","CITY OF VAN PAYBYPHONE","4.3","CAD"
"2025-12-03","2025-12-04","Purchase","IMPARK00010696U","9.0","CAD"
"2025-12-03","2025-12-04","Purchase","IGA 1070","10.84","CAD"
"2025-12-04","2025-12-05","Purchase","NETFLIX.COM","8.95","CAD"
"2025-12-04","2025-12-05","Purchase","STRANGE FELLOWS BREWING","23.54","CAD"
"2025-12-04","2025-12-05","Purchase","PET VALU CANADA INC.","57.78","CAD"
"2025-12-04","2025-12-05","Purchase","CITY AVENUE MARKET","66.82","CAD"
"2025-12-04","2025-12-05","Purchase","BUTCHART GARDENS E-TIC","217.25","CAD"
"2025-12-04","2025-12-05","Purchase","EARNEST ICE CREAM","27.0","CAD"
"2025-12-04","2025-12-05","Purchase","DRIVE DRUM SHOP","62.13","CAD"
"2025-12-04","2025-12-05","Purchase","THE FIRST RAVIOLI STORE","6.98","CAD"
"2025-12-05","2025-12-06","Purchase","CONTINENTAL COFFEE COMM","7.8","CAD"
"2025-12-05","2025-12-06","Purchase","BUTCHART GARDENS COFFE","19.95","CAD"
"2025-12-05","2025-12-06","Purchase","BUTCHART GARDENS GATE","15.75","CAD"
"2025-12-05","2025-12-06","Purchase","BUTCHART GARDENS COFFE","3.41","CAD"
"2025-12-05","2025-12-06","Purchase","STARBUCKS 04615","18.27","CAD"
"2025-12-05","2025-12-06","Purchase","THE LIGHTING WAREHOUSE","100.0","CAD"
"2025-12-05","2025-12-06","Purchase","PHO37","18.59","CAD"
"2025-12-05","2025-12-06","Purchase","LIQUOR PLUS SAANICH","87.58","CAD"
"2025-12-06","2025-12-06","Purchase","AMAZON.CA PRIME MEMBER","11.19","CAD"
"2025-12-05","2025-12-07","Purchase","TICKETMASTER CANADA","267.0","CAD"
"2025-12-05","2025-12-07","Purchase","TICKETMASTER CANADA","495.75","CAD"
"2025-12-06","2025-12-07","Purchase","BAM*SARPINO'S PIZZERIA CE","39.57","CAD"
"2025-12-07","2025-12-07","Purchase","PARSONAGE CAFE #824847354","21.6","CAD"
"2025-12-07","2025-12-08","Purchase","BCF-SWARTZ BAY","155.0","CAD"
"2025-12-07","2025-12-08","Purchase","BCF - VANIS SPIRIT OF","12.89","CAD"
"2025-12-07","2025-12-08","Purchase","BCF - VANIS SPIRIT OF","9.53","CAD"
"2025-12-08","2025-12-08","Purchase","SP NESTDESIGNS 6P2R","97.03","CAD"
"2025-12-08","2025-12-09","Purchase","COBS BREAD","6.75","CAD"
"2025-12-08","2025-12-09","Purchase","PHO37","71.13","CAD"
"2025-12-08","2025-12-09","Purchase","THE HOME DEPOT #7042","81.86","CAD"
"2025-12-07","2025-12-09","Purchase","THRIFTY FOODS #9465","28.27","CAD"
"2025-12-09","2025-12-10","Purchase","FIGAROS GARDEN","96.29","CAD"
"2025-12-08","2025-12-10","Purchase","CITY OF VAN PAYBYPHONE","9.87","CAD"
"2025-12-10","2025-12-11","Purchase","CONTINENTAL COFFEE COMM","47.0","CAD"
"2025-12-10","2025-12-11","Purchase","CRAFT MAISON","48.16","CAD"
"2025-12-10","2025-12-11","Purchase","PERSIA FOODS","16.67","CAD"
"2025-12-10","2025-12-11","Purchase","SAL Y LIMON MEXICAN CU","25.0","CAD"
"2025-12-09","2025-12-11","Purchase","REAL CDN SUPERSTORE #1","144.48","CAD"
"2025-12-10","2025-12-11","Purchase","AMZN MKTP CA*QD3915ZE3","18.13","CAD"
"2025-12-11","2025-12-11","Purchase","AMZN MKTP CA*RQ3HR4HE3","42.32","CAD"
"2025-12-11","2025-12-12","Purchase","TST-SULA INDIAN RESTAU","70.23","CAD"
"2025-12-11","2025-12-12","Purchase","GATLEY LIFESTYLE STORE","48.16","CAD"
"2025-12-11","2025-12-12","Purchase","AMZN MKTP CA*PL83L7N33","59.99","CAD"
"2025-12-12","2025-12-13","Purchase","INTERNATIONAL TRAVEL MAPS","52.53","CAD"
"2025-12-12","2025-12-13","Purchase","CITY AVENUE MARKET","71.46","CAD"
"2025-12-12","2025-12-13","Purchase","OPENHEARTPROJECT.COM","74.66","CAD"
"2025-12-12","2025-12-13","Purchase","THE LIGHTING WAREHOUSE","11.59","CAD"
"2025-12-13","2025-12-13","Purchase","SQ *PRADO CAFE COMMERCIAL","12.36","CAD"
"2025-12-13","2025-12-14","Purchase","COBS BREAD","4.0","CAD"
"2025-12-12","2025-12-14","Purchase","LULULEMONCOM*","76.16","CAD"
"2025-12-13","2025-12-14","Purchase","MOJA COFFEE CORPORATION","24.48","CAD"
"2025-12-12","2025-12-14","Purchase","AIR CAN* 0142315543742","107.02","CAD"
"2025-12-14","2025-12-15","Purchase","PERSIA FOODS","4.99","CAD"
"2025-12-15","2025-12-16","Purchase","UNIQLO CANADA POS_CA_MTT_","173.05","CAD"
"2025-12-15","2025-12-16","Purchase","COBS BREAD","7.38","CAD"
"2025-12-15","2025-12-16","Purchase","INDIGO 762","102.76","CAD"
"2025-12-15","2025-12-16","Purchase","PERSIA FOODS","13.75","CAD"
"2025-12-15","2025-12-16","Purchase","DECATHLON METROTOWN","19.04","CAD"
"2025-12-16","2025-12-16","Purchase","SQ *MRPETS VANCOUVER","107.96","CAD"
"2025-12-13","2025-12-16","Purchase","DUNDAS KK MARKET","45.65","CAD"
"2025-12-15","2025-12-16","Purchase","PHO37","78.1","CAD"
"2025-12-16","2025-12-16","Purchase","FIDO MOBILE ******4649","84.0","CAD"
"2025-12-16","2025-12-16","Refund initiated","PP*7731CODE","-2.45","CAD"
"2025-12-16","2025-12-17","Purchase","PARKING FALSE CREEK 10","8.0","CAD"
"2025-12-16","2025-12-17","Purchase","MEC MOUNTAIN EQUIPMENT CO","313.8","CAD"
"2025-12-16","2025-12-17","Purchase","LONDON DRUGS 82","24.36","CAD"
"2025-12-16","2025-12-17","Purchase","TELUS MOBILITY PREAUTH","328.23","CAD"
"2025-12-17","2025-12-17","Refund initiated","MAGNET HARDWARE 53710","-15.66","CAD"
"2025-12-16","2025-12-17","Purchase","AMZN MKTP CA*OT8T22J63","52.76","CAD"
"2025-12-15","2025-12-17","Purchase","WAL-MART SUPERCENTER#1104","43.65","CAD"
"2025-12-15","2025-12-17","Purchase","WAL-MART SUPERCENTER#1213","24.55","CAD"
"2025-12-16","2025-12-17","Refund settled","PP*7731CODE","2.45","CAD"
"2025-12-16","2025-12-17","Refund settled","PP*7731CODE","-2.45","CAD"
"2025-12-17","2025-12-18","Purchase","BCF-CUSTOMER SERVICE CENT","20.0","CAD"
"2025-12-16","2025-12-18","Purchase","BCF - ONLINE SALES & BOOK","49.0","CAD"
"2025-12-17","2025-12-18","Purchase","EARNEST ICE CREAM","78.0","CAD"
"2025-12-17","2025-12-18","Purchase","COBS BREAD","8.38","CAD"
"2025-12-18","2025-12-18","Refund initiated","BCF-CUSTOMER SERVICE CENT","-29.0","CAD"
"2025-12-17","2025-12-18","Refund settled","MAGNET HARDWARE 53710","15.66","CAD"
"2025-12-17","2025-12-18","Refund settled","MAGNET HARDWARE 53710","-15.66","CAD"
"2025-12-17","2025-12-18","Purchase","STRANGE FELLOWS BREWING","88.22","CAD"
"2025-12-17","2025-12-18","Purchase","CITY OF VAN-PARKS AN TROU","181.87","CAD"
"2025-12-17","2025-12-18","Purchase","PERSIA FOODS","5.88","CAD"
"2025-12-17","2025-12-18","Purchase","CHOICES DRIVE # 515","44.84","CAD"
"2025-12-18","2025-12-18","Refund initiated","MEC MOUNTAIN EQUIPMENT CO","-91.4","CAD"
"2025-12-16","2025-12-18","Purchase","PP*7731CODE","2.45","CAD"
"2025-12-17","2025-12-18","Purchase","SWEET CHERUBIM NATURAL","16.76","CAD"
"2025-12-18","2025-12-19","Refund settled","BCF-CUSTOMER SERVICE CENT","29.0","CAD"
"2025-12-18","2025-12-19","Refund settled","BCF-CUSTOMER SERVICE CENT","-29.0","CAD"
"2025-12-18","2025-12-19","Purchase","VANCOUVER PB RECREATIO","51.09","CAD"
"2025-12-18","2025-12-19","Purchase","BODY ENERGY CLUB","18.33","CAD"
"2025-12-18","2025-12-19","Purchase","WHOLE FOODS MARKET","120.47","CAD"
"2025-12-18","2025-12-19","Purchase","WHOLE FOODS MARKET","42.68","CAD"
"2025-12-18","2025-12-19","Refund settled","MEC MOUNTAIN EQUIPMENT CO","91.4","CAD"
"2025-12-18","2025-12-19","Refund settled","MEC MOUNTAIN EQUIPMENT CO","-91.4","CAD"
"2025-12-19","2025-12-19","Refund initiated","RMI-SPORTSNET.CA/NOW","-33.59","CAD"
"2025-12-18","2025-12-19","Purchase","IMPARK00011928U","5.5","CAD"
"2025-12-19","2025-12-19","Purchase","THE BENCH BAKEHOUSE","31.75","CAD"
"2025-12-19","2025-12-19","Purchase","SQ *PAULIE'S BARBERSHOP","55.0","CAD"
"2025-12-19","2025-12-19","Purchase","RMI-SPORTSNET.CA/NOW","33.59","CAD"
"2025-12-19","2025-12-19","Refund settled","RMI-SPORTSNET.CA/NOW","33.59","CAD"
"2025-12-19","2025-12-19","Refund settled","RMI-SPORTSNET.CA/NOW","-33.59","CAD"
"2025-12-19","2025-12-19","Purchase","TIM HORTONS #3267","20.0","CAD"
"2025-12-19","2025-12-19","Purchase","TIM HORTONS #3267","5.0","CAD"
"2025-12-19","2025-12-20","Purchase","COMMERCIAL DRIVE LICORIC","24.22","CAD"
"2025-12-18","2025-12-20","Purchase","SHOPPERS DRUG MART #02","43.57","CAD"
"2025-12-18","2025-12-20","Purchase","SHOPPERS DRUG MART #02","39.18","CAD"
"2025-12-19","2025-12-20","Purchase","MAGNET HARDWARE 53710","43.69","CAD"
"2025-12-19","2025-12-20","Purchase","PERSIA FOODS","2.47","CAD"
"2025-12-19","2025-12-20","Purchase","GAMES ON THE DRIVE","55.99","CAD"
"2025-12-19","2025-12-20","Purchase","THE BURROW","137.97","CAD"
"2025-12-19","2025-12-20","Purchase","SUPER VALU 98","14.28","CAD"
"2025-12-20","2025-12-21","Purchase","BELL MEDIA","24.64","CAD"
"2025-12-20","2025-12-21","Purchase","MOUNTAIN EQUIPMENT COMPAN","78.34","CAD"
"2025-12-20","2025-12-21","Purchase","THE ORCHARD GLENEAGLES","145.23","CAD"
"2025-12-20","2025-12-21","Purchase","AMZN MKTP CA*R293P5KX3","207.2","CAD"
"2025-12-21","2025-12-21","Purchase","LS LIVIA SWEETS LTD.","9.25","CAD"
"2025-12-21","2025-12-21","Purchase","SQ *MRPETS VANCOUVER","54.49","CAD"
"2025-12-21","2025-12-21","Purchase","SQ *FC HEADLAND","15.99","CAD"
"2025-12-21","2025-12-21","Purchase","SQ *FC HEADLAND","16.01","CAD"
"2025-12-21","2025-12-21","Purchase","SEPHORA.CA","40.32","CAD"
"2025-12-21","2025-12-21","Purchase","NEW TRIPLE A MARKET","36.78","CAD"
"2025-12-20","2025-12-21","Purchase","TELUS PRE-AUTH PAYMENT","106.4","CAD"
"2025-12-21","2025-12-21","Purchase","MAH MILKBAR","41.76","CAD"
"2025-12-21","2025-12-21","Purchase","MAH MILKBAR","7.35","CAD"
"2025-12-21","2025-12-22","Purchase","BCF - SURREY QUEEN OF","6.56","CAD"
"2025-12-21","2025-12-22","Purchase","BCF - SURREY QUEEN OF","31.38","CAD"
"2025-12-21","2025-12-22","Purchase","BCF - SURREY QUEEN OF","2.82","CAD"
"2025-12-22","2025-12-22","Purchase","SQ *MORE CAFE & BAKESHOP","17.35","CAD"
"2025-12-21","2025-12-22","Purchase","AMZN MKTP CA*3E2F23LR3","15.67","CAD"
"2025-12-21","2025-12-22","Purchase","BC LIQUOR #175","140.48","CAD"
"2025-12-22","2025-12-22","Purchase","AMZN MKTP CA*WL3E60Q13","52.62","CAD"
"2025-12-22","2025-12-22","Purchase","SP BEACHCOMBERCOFFEE","15.01","CAD"
"2025-12-22","2025-12-22","Purchase","THE MAD HEN","94.5","CAD"
"2025-12-23","2025-12-23","Purchase","SQ *GRAB & GO + FROZEN PR","33.6","CAD"
"2025-12-23","2025-12-23","Purchase","SQ *SUNDAY CIDER","46.55","CAD"
"2025-12-22","2025-12-23","Purchase","CANADIAN TIRE #636","67.16","CAD"
"2025-12-24","2025-12-24","Purchase","HONK PARKING","10.45","CAD"
