"transaction_date","post_date","type","details","amount","currency"
"2025-09-11","2025-09-12","Purchase","BCF - HORSESHOE BAY","15.65","CAD"
"2025-09-11","2025-09-12","Purchase","BCF - SURREY QUEEN OF","6.29","CAD"
"2025-09-11","2025-09-12","Purchase","SAL Y LIMON MEXICAN CU","33.09","CAD"
"2025-09-13","2025-09-13","Purchase","NOODLEBOX","18.94","CAD"
"2025-09-13","2025-09-13","Purchase","SQ *PUREBREAD BAKERY INC","18.49","CAD"
"2025-09-13","2025-09-13","Purchase","WAWANESA","2877.0","CAD"
"2025-09-12","2025-09-13","Purchase","SUPER VALU 98","20.59","CAD"
"2025-09-13","2025-09-14","Purchase","SQ *GOCF - VANCOUVER","29.25","CAD"
"2025-09-13","2025-09-14","Purchase","SQ *GOCF - VANCOUVER","30.18","CAD"
"2025-09-13","2025-09-14","Purchase","WWW.SPORTCHEK.CA","78.38","CAD"
"2025-09-12","2025-09-14","Purchase","CITY OF VAN PAYBYPHONE","4.07","CAD"
"2025-09-14","2025-09-15","Purchase","INDIGO PARK - LOT 249 MEC","2.7","CAD"
"2025-09-13","2025-09-15","Purchase","CITY OF VAN PAYBYPHONE","4.3","CAD"
"2025-09-14","2025-09-15","Purchase","BC LIQUOR #111","108.02","CAD"
"2025-09-15","2025-09-16","Purchase","MOUNT PLEASANT VISIO","35.84","CAD"
"2025-09-15","2025-09-16","Purchase","WHOLE FOODS MARKET","45.89","CAD"
"2025-09-15","2025-09-16","Purchase","WHOLE FOODS MARKET","42.15","CAD"
"2025-09-14","2025-09-16","Purchase","SUPER VALU 98","98.35","CAD"
"2025-09-14","2025-09-16","Purchase","SHOPPERS DRUG MART #20","25.38","CAD"
"2025-09-15","2025-09-16","Purchase","SHOE COMPANY # 340","131.22","CAD"
"2025-09-15","2025-09-16","Purchase","STARBUCKS COFFEE #4571","60.0","CAD"
"2025-09-14","2025-09-17","Purchase","MEC MOUNTAIN EQUIPMENT CO","121.32","CAD"
"2025-09-16","2025-09-17","Purchase","OEB YALETOWN","36.56","CAD"
"2025-09-17","2025-09-17","Purchase","ZIPBY","5.13","CAD"
"2025-09-17","2025-09-17","Purchase","ZIPBY","5.13","CAD"
"2025-09-17","2025-09-18","Purchase","TELUS MOBILITY","162.03","CAD"
"2025-09-16","2025-09-18","Purchase","CITY OF VAN PAYBYPHONE","3.3","CAD"
"2025-09-18","2025-09-18","Purchase","SQ *PAULIE'S BARBERSHOP","50.0","CAD"
"2025-09-18","2025-09-19","Purchase","END OF THE LINE","28.86","CAD"
"2025-09-19","2025-09-19","Purchase","LS SOCIAL","48.67","CAD"
"2025-09-19","2025-09-20","Purchase","BELGIAN FRIES","39.27","CAD"
"2025-09-19","2025-09-20","Purchase","CITY OF VAN-PARKS AN TROU","8.33","CAD"
"2025-09-19","2025-09-20","Purchase","BOSA FOODS (KOOTENAY ST)","23.96","CAD"
"2025-09-18","2025-09-20","Purchase","REAL CDN. SUPERSTORE #","231.78","CAD"
"2025-09-20","2025-09-20","Purchase","SQ *JJ BEAN COFFEE ROASTE","4.78","CAD"
"2025-09-20","2025-09-20","Purchase","ZIPBY","5.65","CAD"
"2025-09-20","2025-09-21","Purchase","PERSIA FOODS","1.58","CAD"
"2025-09-20","2025-09-21","Purchase","HARBOUR AIR RESERVATION D","479.98","CAD"
"2025-09-20","2025-09-21","Purchase","HARBOUR AIR RESERVATION D","278.0","CAD"
"2025-09-20","2025-09-21","Purchase","EUREST-VANARTGALL-63449","15.76","CAD"
"2025-09-20","2025-09-21","Purchase","CITY AVENUE MARKET","61.81","CAD"
"2025-09-20","2025-09-21","Purchase","SAL Y LIMON MEXICAN CU","3.15","CAD"
"2025-09-20","2025-09-21","Purchase","APPLE.COM/BILL","34.7","CAD"
"2025-09-20","2025-09-21","Purchase","BC LIQUOR #111","64.34","CAD"
"2025-09-20","2025-09-21","Purchase","#337 SPORT CHEK","141.59","CAD"
"2025-09-20","2025-09-21","Purchase","IGA 1070","1.36","CAD"
"2025-09-22","2025-09-22","Purchase","SP LOOPUS","64.86","CAD"
"2025-09-21","2025-09-22","Purchase","CITY AVENUE MARKET","19.58","CAD"
"2025-09-21","2025-09-22","Purchase","SUSHI LOKU","81.4","CAD"
"2025-09-22","2025-09-22","Purchase","SQ *JJ BEAN COFFEE ROASTE","11.7","CAD"
"2025-09-21","2025-09-22","Purchase","BC LIQUOR #302","15.68","CAD"
"2025-09-21","2025-09-23","Purchase","7-ELEVEN STORE #37882","19.58","CAD"
"2025-09-22","2025-09-23","Purchase","PHO37","38.5","CAD"
"2025-09-23","2025-09-23","Purchase","SQ *ALICE AND BROHM - GAR","8.0","CAD"
"2025-09-22","2025-09-23","Purchase","THE GROCERY STORE","9.74","CAD"
"2025-09-23","2025-09-23","Purchase","R&B PLUMBLING AND HEATING","1142.87","CAD"
"2025-09-23","2025-09-23","Purchase","COBS BREAD","6.75","CAD"
"2025-09-23","2025-09-24","Purchase","SQ *IL MUNDO","16.13","CAD"
"2025-09-23","2025-09-24","Purchase","MAGNET HARDWARE 53710","4.47","CAD"
"2025-09-23","2025-09-24","Purchase","OTTER CO-OP WHISTLER GB","9.21","CAD"
"2025-09-23","2025-09-24","Purchase","YALETOWN DENTISTRY","351.01","CAD"
"2025-09-23","2025-09-24","Purchase","SUPER VALU 98","54.84","CAD"
